Serial Number,PMID,Journal/Book,Publication year,Title,DOI,Citation,Authors,Keywords flagged,Self-reported study aim,Study category,Study location,,,Study population,Pathogen,Programming language,Population size,Age,Sex,Race/ethnicity,Income,Vaccination,Screening and/or testing,Masking,Contact tracing,School closure,Social distancing
10,32665655,Nat Med,2020,A stochastic agent-based model of the SARS-CoV-2 epidemic in France,10.1038/s41591-020-1001-6,"Hoertel N, Blachier M, Blanco C, et al. A stochastic agent-based model of the SARS-CoV-2 epidemic in France. Nat Med. 2020;26(9):1417-1421. doi:10.1038/s41591-020-1001-6","Hoertel N, Blachier M, Blanco C, Olfson M, Massetti M, Rico MS, Limosin F, Leleu H.","agent-based model, epidemic ","Examine impact of post-lockdown measures on disease incidence, mortality and ICU bed occupancy",Intervention Impact Assessment,France,,France,General,SARS-CoV-2,C Family,5.00E+05,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
11,36463351,Sci Rep,2022,Agent-based model using GPS analysis for infection spread and inhibition mechanism of SARS-CoV-2 in Tokyo,10.1038/s41598-022-25480-z,"Murakami T, Sakuragi S, Deguchi H, Nakata M. Agent-based model using GPS analysis for infection spread and inhibition mechanism of SARS-CoV-2 in Tokyo. Sci Rep. 2022;12(1):20896. doi:10.1038/s41598-022-25480-z","Murakami T, Sakuragi S, Deguchi H, Nakata M.","agent-based model, infection, simulation",Spatiotemporal analysis of infection in Tokyo using GPS information,Understanding Epidemic Spread,Tokyo (Japan),,Japan,General,SARS-CoV-2,"Python, Julia",1.00E+05,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,33360131,Sci Total Environ,2021,How do social media and individual behaviors affect epidemic transmission and control?,10.1016/j.scitotenv.2020.144114,"Du E, Chen E, Liu J, Zheng C. How do social media and individual behaviors affect epidemic transmission and control? Science of The Total Environment. 2021;761:144114. doi:10.1016/j.scitotenv.2020.144114","Du E, Chen E, Liu J, Zheng C.","epidemic, transmission, infection, disease",To understand impact of social media on disease spread and control,Behavioral Influence on Spread,--,,Theoretical,Theoretical,SARS-CoV-2,Other/Unknown,1000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
13,37061013,J Biomed Inform,2023,MAM: Flexible Monte-Carlo Agent based model for modelling COVID-19 spread,10.1016/j.jbi.2023.104364,"De-Leon H, Aran D. MAM: Flexible Monte-Carlo Agent based model for modelling COVID-19 spread. Journal of Biomedical Informatics. 2023;141:104364. doi:10.1016/j.jbi.2023.104364","De-Leon H, Aran D.","model, transmission, agent-based",To compare the performance of MAM and SIR models used to model COVID-19 outbreaks,Theoretical Advancements,Israel,,Israel,General,SARS-CoV-2,Other/Unknown,9200000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
14,37289806,Proc Natl Acad Sci U S A,2023,Spreading processes with mutations over multilayer networks,10.1073/pnas.2302245120,"Sood M, Sridhar A, Eletreby R, et al. Spreading processes with mutations over multilayer networks. Proc Natl Acad Sci USA. 2023;120(24):e2302245120. doi:10.1073/pnas.2302245120","Sood M, Sridhar A, Eletreby R, Wu CW, Levin SA, Yağan O, Poor HV.","model, pathogen, epidemiological ",Analyze spreading processes by mutating contagions,Understanding Epidemic Spread,--,,Theoretical,Theoretical,"SARS-CoV-2, Influenza Virus",Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,35287631,BMC Public Health,2022,Evaluating scenarios for school reopening under COVID19,10.1186/s12889-022-12910-w,"Baxter A, Oruc BE, Asplund J, Keskinocak P, Serban N. Evaluating scenarios for school reopening under COVID19. BMC Public Health. 2022;22(1):496. doi:10.1186/s12889-022-12910-w","Baxter A, Oruc BE, Asplund J, Keskinocak P, Serban N.","agent-based, simulation, model, infection",Impact of school reopening scenarios on the spread of COVID-19,Intervention Impact Assessment,Georgia (US),Georgia,US,University/School,SARS-CoV-2,C Family,1.00E+06,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
16,36612868,Int J Environ Res Public Health,2022,"Agent-Based Simulation for Infectious Disease Modelling over a Period of Multiple Days, with Application to an Airport Scenario",10.3390/ijerph20010545,"Harweg T, Wagner M, Weichert F. Agent-Based Simulation for Infectious Disease Modelling over a Period of Multiple Days, with Application to an Airport Scenario. IJERPH. 2022;20(1):545. doi:10.3390/ijerph20010545","Harweg T, Wagner M, Weichert F.","agent-based, model, diseases",Tracking spread of infectious diseases in airport settings,Understanding Epidemic Spread,Frankfurt (Germany),,Germany,Transportation,SARS-CoV-2,C Family,3000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,32568667,Comput Biol Med,2020,An agent-based model to evaluate the COVID-19 transmission risks in facilities,10.1016/j.compbiomed.2020.103827,Cuevas E. An agent-based model to evaluate the COVID-19 transmission risks in facilities. Computers in Biology and Medicine. 2020;121:103827. doi:10.1016/j.compbiomed.2020.103827,Cuevas E.,"agent-based, model, transmission",Spatiotemporal transmission of COVID-19,Understanding Epidemic Spread,--,,Theoretical,Theoretical,SARS-CoV-2,MATLAB,500,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18,32820573,J Eval Clin Pract,2020,Agent-based modelling for SARS-CoV-2 epidemic prediction and intervention assessment: A methodological appraisal,10.1111/jep.13459,"Maziarz M, Zach M. Agent‐based modelling for SARS‐CoV ‐2 epidemic prediction and intervention assessment: A methodological appraisal. Evaluation Clinical Practice. 2020;26(5):1352-1360. doi:10.1111/jep.13459","Maziarz M, Zach M.","agent-based modeling, pathogen, transmission",Assess ABMs of SARS-CoV-2 pandemic methodologically,Understanding Epidemic Spread,Australia,,Australia,General,SARS-CoV-2,Other/Unknown,Unknown,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,32580535,Epidemiol Health,2020,"Individual-based simulation model for COVID-19 transmission in Daegu, Korea",10.4178/epih.e2020042,"Son WS, Team Risewid. Individual-based simulation model for COVID-19 transmission in Daegu,Korea. Epidemiol Health. Published online June 15, 2020:e2020042. doi:10.4178/epih.e2020042",Son WS; RISEWIDs Team.,"individual, simulation, model, transmission",Predicting future spread in the city of Daegu and analyze impact of school opening,Forecasting,Daegu (South Korea),,South Korea,General,SARS-CoV-2,Other/Unknown,2200000,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
